data,ticker,fechamento,quantidade,volume
2024-01-03,CURY3,17.15,1282100,22010464.0
2024-01-03,CVCB3,3.26,18413400,60941744.0
2024-01-03,CXSE3,12.8,2137700,27483028.0
2024-01-03,CYRE3,22.74,8445100,191534319.0
2024-01-03,DIRR3,21.42,2431000,51996536.0
2024-01-03,DXCO3,7.7,2319400,17919864.0
2024-01-03,ECOR3,9.43,2978600,28175392.0
2024-01-03,EGIE3,44.5,922800,41120924.0
2024-01-03,ELET3,41.69,3762800,157385197.0
2024-01-03,ELET6,46.24,558100,25855516.0
2024-01-03,EMBR3,21.56,10774700,234216652.0
2024-01-03,ENEV3,13.31,8506500,113108683.0
2024-01-03,ENGI11,52.31,3446900,180373689.0
2024-01-03,EQTL3,35.19,5912100,207721063.0
2024-01-03,EZTC3,17.33,2048400,35540612.0
2024-01-03,FLRY3,17.65,3177300,56145339.0
2024-01-03,GGBR4,23.27,6141200,143478335.0
2024-01-03,GOAU4,10.7,8780800,94118388.0
2024-01-03,GOLL4,8.14,5825000,47814272.0
2024-01-03,HAPV3,4.24,47113900,201783123.0
2024-01-03,HYPE3,34.85,1627100,56912151.0
2024-01-03,IGTI11,24.6,3040400,73657084.0
2024-01-03,IRBR3,42.46,1372400,58059111.0
2024-01-03,ITSA4,10.15,18182000,184850813.0
2024-01-03,ITUB4,33.15,18530900,619056707.0
2024-01-03,JBSS3,24.47,5590800,138823603.0
2024-01-03,JHSF3,5.27,2258300,11911985.0
2024-01-03,KLBN11,22.04,3337600,73465423.0
2024-01-03,LOGG3,20.92,258500,5349441.0
2024-01-03,LREN3,16.89,14818600,251986059.0
2024-01-03,LWSA3,5.51,8239100,45902854.0
2024-01-03,MGLU3,2.0,86494900,175405377.0
2024-01-03,MRFG3,9.61,8297600,79946854.0
2024-01-03,MRVE3,10.45,16198700,169689222.0
2024-01-03,MULT3,28.05,2072400,58136037.0
2024-01-03,NTCO3,16.76,5965100,99947605.0
2024-01-03,PCAR3,4.63,15455300,68212093.0
2024-01-03,PETR3,40.7,9800500,396982878.0
2024-01-03,PETR4,38.96,52300200,2016962803.0
2024-01-03,PETZ3,3.71,12606600,47163817.0
2024-01-03,POMO4,7.45,11844400,88550950.0
2024-01-03,PRIO3,46.88,17020600,786451955.0
2024-01-03,PSSA3,28.69,628300,18069032.0
2024-01-03,QUAL3,3.28,3498500,11328764.0
2024-01-03,RADL3,29.2,2722000,79980863.0
2024-01-03,RAIL3,22.38,18307700,408907836.0
2024-01-03,RAIZ4,4.11,11071200,45474133.0
2024-01-03,RDOR3,27.49,3893300,107197319.0
2024-01-03,RECV3,21.25,2200100,46361575.0
2024-01-03,RENT3,60.9,5667700,345147944.0
2024-01-03,RRRP3,26.35,5734800,151446910.0
2024-01-03,SANB11,32.01,833600,26794577.0
2024-01-03,SBSP3,73.47,1300000,95694852.0
2024-01-03,SLCE3,18.48,1750700,32234669.0
2024-01-03,SMFT3,25.34,2843200,71382747.0
2024-01-03,SMTO3,28.78,1335800,38745445.0
2024-01-03,SOMA3,7.54,19785000,147769222.0
2024-01-03,STBP3,9.21,3366800,31019274.0
2024-01-03,SUZB3,55.45,3343500,185400642.0
2024-01-03,TAEE11,38.37,2592100,99531603.0
2024-01-03,TEND3,13.1,6702000,88657564.0
2024-01-03,TIMS3,17.75,6208900,110142893.0
2024-01-03,TOTS3,32.96,3030700,100079765.0
2024-01-03,TRPL4,26.07,2016200,52677838.0
2024-01-03,UGPA3,26.53,4442100,118475575.0
2024-01-03,USIM5,9.08,9136100,82628888.0
2024-01-03,VALE3,76.65,25315100,1937293376.0
2024-01-03,VAMO3,9.62,3652900,34905680.0
2024-01-03,VBBR3,23.19,8606000,198884234.0
2024-01-03,VIVA3,34.57,2151500,74089313.0
2024-01-03,VIVT3,51.93,2235600,116397215.0
2024-01-03,WEGE3,36.85,6435500,237102880.0
2024-01-03,YDUQ3,20.91,3876700,80864272.0
2024-01-04,ABEV3,13.65,19996000,272730057.0
2024-01-04,ALOS3,25.22,5359000,135567632.0
2024-01-04,ALPA4,8.97,4543500,41248836.0
2024-01-04,AMER3,0.88,12874700,11468853.0
2024-01-04,ARZZ3,58.76,1756100,105210190.0
2024-01-04,ASAI3,13.21,8604100,112962005.0
