data,ticker,fechamento
2019-01-07,JHSF3,1.99
2019-01-07,KLBN11,17.0
2019-01-07,KROT3,9.13
2019-01-07,LAME4,19.98
2019-01-07,LCAM3,36.68
2019-01-07,LOGG3,15.62
2019-01-07,LREN3,40.4
2019-01-07,MGLU3,181.17
2019-01-07,MRFG3,5.58
2019-01-07,MRVE3,12.56
2019-01-07,MULT3,24.24
2019-01-07,NATU3,45.47
2019-01-07,PCAR4,83.5
2019-01-07,PETR3,28.4
2019-01-07,PETR4,25.11
2019-01-07,POMO4,4.29
2019-01-07,PRIO3,104.57
2019-01-07,PSSA3,49.19
2019-01-07,QUAL3,13.08
2019-01-07,RADL3,56.1
2019-01-07,RAIL3,16.9
2019-01-07,RENT3,29.49
2019-01-07,SANB11,47.99
2019-01-07,SBSP3,37.0
2019-01-07,SLCE3,42.43
2019-01-07,SMLS3,42.26
2019-01-07,SMTO3,17.86
2019-01-07,STBP3,4.23
2019-01-07,SULA11,26.54
2019-01-07,SUZB3,35.85
2019-01-07,TAEE11,24.95
2019-01-07,TEND3,34.26
2019-01-07,TIMP3,12.37
2019-01-07,TOTS3,29.47
2019-01-07,TRPL4,73.0
2019-01-07,UGPA3,51.35
2019-01-07,USIM5,10.13
2019-01-07,VALE3,51.91
2019-01-07,VIVT3,41.2
2019-01-07,VIVT4,47.9
2019-01-07,VVAR3,4.24
2019-01-07,WEGE3,18.31
2019-01-08,ABEV3,16.15
2019-01-08,ALPA4,17.7
2019-01-08,ARZZ3,54.05
2019-01-08,AZUL4,34.72
2019-01-08,B3SA3,27.88
2019-01-08,BBAS3,47.93
2019-01-08,BBDC3,36.4
2019-01-08,BBDC4,41.19
2019-01-08,BBSE3,27.52
2019-01-08,BEEF3,5.31
2019-01-08,BIDI4,39.81
2019-01-08,BPAC11,26.21
2019-01-08,BPAN4,1.95
2019-01-08,BRAP4,31.94
2019-01-08,BRDT3,25.95
2019-01-08,BRFS3,22.93
2019-01-08,BRKM5,47.69
2019-01-08,BRML3,13.23
2019-01-08,BTOW3,42.0
2019-01-08,CCRO3,12.24
2019-01-08,CIEL3,9.72
2019-01-08,CMIG4,13.38
2019-01-08,CPFE3,28.3
2019-01-08,CPLE3,29.8
2019-01-08,CPLE6,31.0
2019-01-08,CRFB3,18.66
2019-01-08,CSAN3,35.89
2019-01-08,CSMG3,64.03
2019-01-08,CSNA3,9.8
2019-01-08,CVCB3,58.71
2019-01-08,CYRE3,15.79
2019-01-08,DIRR3,8.14
2019-01-08,ECOR3,9.82
2019-01-08,EGIE3,35.7
2019-01-08,ELET3,30.48
2019-01-08,ELET6,33.59
2019-01-08,EMBR3,21.36
2019-01-08,ENBR3,14.5
2019-01-08,ENEV3,16.99
